date,close,adj_close,volume,ticker
1980-03-18,3.03125,3.03125,727200,AMD
1980-03-18,0.322917,0.183718,17068800,INTEL
1980-03-19,3.041667,3.041667,295200,AMD
1980-03-19,0.330729,0.188162,18508800,INTEL
1980-03-20,3.010417,3.010417,159600,AMD
1980-03-20,0.329427,0.187421,11174400,INTEL
1980-03-21,2.916667,2.916667,130800,AMD
1980-03-21,0.317708,0.180754,12172800,INTEL
1980-03-24,2.666667,2.666667,436800,AMD
1980-03-24,0.311198,0.17705,8966400,INTEL
1980-03-25,2.604167,2.604167,645600,AMD
1980-03-25,0.3125,0.177791,11347200,INTEL
1980-03-26,2.447917,2.447917,466800,AMD
1980-03-26,0.309896,0.17631,16262400,INTEL
1980-03-27,2.375,2.375,1129200,AMD
1980-03-27,0.299479,0.170383,26918400,INTEL
1980-03-28,2.541667,2.541667,666000,AMD
1980-03-28,0.311198,0.17705,20102400,INTEL
1980-03-31,2.541667,2.541667,430800,AMD
1980-03-31,0.321615,0.182977,9004800,INTEL
1980-04-01,2.739583,2.739583,492000,AMD
1980-04-01,0.322917,0.183718,8179200,INTEL
1980-04-02,2.625,2.625,283200,AMD
1980-04-02,0.325521,0.185199,12556800,INTEL
1980-04-03,2.635417,2.635417,226800,AMD
1980-04-03,0.31901,0.181495,6988800,INTEL
1980-04-07,2.541667,2.541667,355200,AMD
1980-04-07,0.311198,0.17705,13478400,INTEL
1980-04-08,2.59375,2.59375,765600,AMD
1980-04-08,0.3125,0.177791,29184000,INTEL
1980-04-09,2.666667,2.666667,134400,AMD
1980-04-09,0.30599,0.174087,11558400,INTEL
1980-04-10,2.739583,2.739583,174000,AMD
1980-04-10,0.304688,0.173347,14784000,INTEL
1980-04-11,2.635417,2.635417,109200,AMD
1980-04-11,0.304688,0.173347,9523200,INTEL
1980-04-14,2.5625,2.5625,267600,AMD
1980-04-14,0.307292,0.174828,8025600,INTEL
1980-04-15,2.5625,2.5625,505200,AMD
1980-04-15,0.303385,0.172605,10598400,INTEL
1980-04-16,2.354167,2.354167,358800,AMD
1980-04-16,0.291667,0.165939,10752000,INTEL
1980-04-17,2.427083,2.427083,696000,AMD
1980-04-17,0.286458,0.162975,17702400,INTEL
1980-04-18,2.322917,2.322917,342000,AMD
1980-04-18,0.290365,0.165198,18739200,INTEL
1980-04-21,2.291667,2.291667,498000,AMD
1980-04-21,0.28776,0.163716,9043200,INTEL
1980-04-22,2.5625,2.5625,880800,AMD
1980-04-22,0.300781,0.171124,20428800,INTEL
1980-04-23,2.614583,2.614583,588000,AMD
1980-04-23,0.31901,0.181495,14822400,INTEL
1980-04-24,2.78125,2.78125,733200,AMD
1980-04-24,0.320313,0.182236,8832000,INTEL
1980-04-25,2.708333,2.708333,343200,AMD
1980-04-25,0.315104,0.179273,7104000,INTEL
1980-04-28,2.729167,2.729167,372000,AMD
1980-04-28,0.3125,0.177791,6931200,INTEL
1980-04-29,2.666667,2.666667,270000,AMD
1980-04-29,0.315104,0.179273,6297600,INTEL
1980-04-30,2.552083,2.552083,273600,AMD
1980-04-30,0.31901,0.181495,7065600,INTEL
1980-05-01,2.458333,2.458333,505200,AMD
1980-05-01,0.320313,0.182236,7008000,INTEL
1980-05-02,2.46875,2.46875,282000,AMD
1980-05-02,0.325521,0.185199,5510400,INTEL
1980-05-05,2.604167,2.604167,302400,AMD
1980-05-05,0.329427,0.187421,3513600,INTEL
1980-05-06,2.6875,2.6875,386400,AMD
1980-05-06,0.328125,0.186681,6988800,INTEL
1980-05-07,2.6875,2.6875,138000,AMD
1980-05-07,0.328125,0.186681,6393600,INTEL
1980-05-08,2.604167,2.604167,225600,AMD
1980-05-08,0.324219,0.184458,7468800,INTEL
1980-05-09,2.541667,2.541667,128400,AMD
1980-05-09,0.328125,0.186681,16684800,INTEL
1980-05-12,2.614583,2.614583,180000,AMD
1980-05-12,0.326823,0.18594,8582400,INTEL
1980-05-13,2.6875,2.6875,213600,AMD
1980-05-13,0.333333,0.189644,7372800,INTEL
1980-05-14,2.770833,2.770833,345600,AMD
1980-05-14,0.338542,0.192607,4742400,INTEL
1980-05-15,2.729167,2.729167,292800,AMD
1980-05-15,0.341146,0.194089,8102400,INTEL
1980-05-16,2.666667,2.666667,135600,AMD
1980-05-16,0.345052,0.196311,4838400,INTEL
1980-05-19,2.6875,2.6875,66000,AMD
1980-05-19,0.346354,0.197052,8640000,INTEL
1980-05-20,2.75,2.75,453600,AMD
1980-05-20,0.342448,0.19483,21811200,INTEL
1980-05-21,2.78125,2.78125,512400,AMD
1980-05-21,0.334635,0.190384,10540800,INTEL
1980-05-22,2.916667,2.916667,499200,AMD
1980-05-22,0.330729,0.188162,5318400,INTEL
1980-05-23,2.989583,2.989583,411600,AMD
1980-05-23,0.342448,0.19483,29779200,INTEL
1980-05-27,3.010417,3.010417,247200,AMD
1980-05-27,0.341146,0.194089,8332800,INTEL
1980-05-28,3.145833,3.145833,458400,AMD
1980-05-28,0.348958,0.198533,6700800,INTEL
1980-05-29,3.083333,3.083333,618000,AMD
1980-05-29,0.348958,0.198533,7660800,INTEL
1980-05-30,3.166667,3.166667,298800,AMD
1980-05-30,0.354167,0.201497,5721600,INTEL
